generation,genome,fitness
0,3.70969,0.919669
0,3.33201,3.20824
0,3.43823,2.66796
0,3.121,0.630962
0,3.639,0.908024
0,3.92255,1.70957
0,3.13861,0.946277
0,3.67841,0.86648
0,3.9391,1.69352
0,3.2253,2.38718
0,3.39265,3.0378
0,3.9175,1.71073
0,3.07714,-0.108551
0,3.66486,0.866195
0,3.64905,0.884983
0,3.44402,2.61076
0,3.76943,1.16982
0,3.38485,3.08301
0,3.1808,1.69268
0,3.58171,1.20384
0,3.03472,-0.692559
0,3.43698,2.68007
0,3.5326,1.64845
0,3.12876,0.769351
0,3.77069,1.17633
0,3.22982,2.4488
0,3.17854,1.65415
0,3.73677,1.01478
0,3.23493,2.51609
0,3.52413,1.73742
0,3.7068,0.911952
0,3.02749,-0.774168
0,3.65604,0.874076
0,3.99616,1.50203
0,3.85043,1.57203
0,3.05851,-0.385434
0,3.61885,0.980566
0,3.66586,0.865708
0,3.64437,0.894633
0,3.79166,1.28736
0,3.93319,1.70141
0,3.12838,0.762467
0,3.96186,1.64121
0,3.78572,1.25566
0,3.85914,1.60447
0,3.74414,1.04673
0,3.88555,1.67847
0,3.04635,-0.549511
0,3.13629,0.904499
0,3.38337,3.0909
1,3.73677,1.01478
1,3.22982,2.4488
1,3.93319,1.70141
1,3.52413,1.73742
1,3.1808,1.69268
1,3.03087,-0.736785
1,4.40754,1.93254
1,3.44402,2.61076
1,3.23493,2.51609
1,3.52413,1.73742
1,3.79166,1.28736
1,3.85043,1.57203
1,3.17854,1.65415
1,3.52413,1.73742
1,3.66586,0.865708
1,3.43823,2.66796
1,3.99616,1.50203
1,3.88555,1.67847
1,3.23493,2.51609
1,3.37317,3.13877
1,3.2253,2.38718
1,3.33201,3.20824
1,3.5326,1.64845
1,3.17854,1.65415
1,3.43823,2.66796
1,3.17854,1.65415
1,4.31563,1.05367
1,3.73677,1.01478
1,3.59093,1.13808
1,3.43823,2.66796
1,3.33044,3.20669
1,2.81601,-0.472289
1,3.77069,1.17633
1,3.92255,1.70957
1,3.26645,2.86887
1,4.33847,1.26477
1,3.23493,2.51609
1,3.6634,0.867055
1,3.33201,3.20824
1,2.9176,-1.21686
1,3.23493,2.51609
1,3.26059,2.81186
1,3.44402,2.61076
1,3.93319,1.70141
1,3.23493,2.51609
1,3.5326,1.64845
1,3.33201,3.20824
1,3.9175,1.71073
1,4.39155,1.78506
1,3.85043,1.57203
2,3.52413,1.73742
2,3.26059,2.81186
2,3.85043,1.57203
2,3.33201,3.20824
2,3.20687,2.11718
2,3.43823,2.66796
2,3.52413,1.73742
2,3.37317,3.13877
2,3.49968,2.00548
2,3.33201,3.20824
2,3.26645,2.86887
2,3.33201,3.20824
2,3.37317,3.13877
2,3.52413,1.73742
2,3.61918,0.979097
2,3.26059,2.81186
2,3.17854,1.65415
2,3.52339,1.74533
2,3.43823,2.66796
2,3.33201,3.20824
2,3.44402,2.61076
2,3.33201,3.20824
2,3.59686,1.09927
2,2.98564,-1.12396
2,3.9175,1.71073
2,3.08697,0.0481802
2,3.22982,2.4488
2,3.59095,1.13795
2,3.70465,0.906556
2,3.43823,2.66796
2,4.4147,1.99503
2,3.26645,2.86887
2,3.17854,1.65415
2,3.33044,3.20669
2,3.52413,1.73742
2,3.23493,2.51609
2,3.67162,0.864498
2,4.39155,1.78506
2,3.44402,2.61076
2,3.92255,1.70957
2,2.97985,-1.15498
2,3.33201,3.20824
2,3.33201,3.20824
2,3.81144,1.39166
2,3.33044,3.20669
2,3.92255,1.70957
2,3.91517,1.71067
2,3.44402,2.61076
2,3.43823,2.66796
2,3.23493,2.51609
3,3.26645,2.86887
3,3.26645,2.86887
3,3.33201,3.20824
3,3.76498,1.14698
3,3.33201,3.20824
3,3.33201,3.20824
3,2.97286,-1.18662
3,3.43823,2.66796
3,3.43823,2.66796
3,2.92287,-1.23018
3,3.34023,3.21117
3,3.33201,3.20824
3,3.33201,3.20824
3,3.44402,2.61076
3,3.33201,3.20824
